Project_Name,Owner,Developer,Address,Zip_Code,Council_District,Kirwan_Opportunity_Index,Distance_to_Bus_Stop,Total_Units,Total_Affordable_Units,Unit_Type,Program,Housing_Type,Status,Affordability_Start_Date,Affordability_Period,Affordability_Expiration_Date,Certification_Date,C._of_O._Date,Required_Amount_of_Fee_in_Lieu,Date_Fee_in_Lieu_Received,Market_Rate_Units,City_Funded_Amount,%_of_Funds_Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/17/12 0:00,10,2/17/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294836202892601, -97.646792711748105)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/6/12 0:00,10,7/6/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2943607714585, -97.646834851114207)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/3/12 0:00,10,10/3/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2947713082721, -97.646600546557707)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/20/12 0:00,10,3/20/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294492047939102, -97.6464845213508)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/20/14 0:00,10,6/20/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294546877004699, -97.647956287929205)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/22/14 0:00,10,7/22/24 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.294362031916599, -97.646603699239705)"
Sendero Hills,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/26/12 0:00,10,7/26/22 0:00,11/24/03,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2949075213409, -97.647290077249494)"
Retreat at North Bluff,"VILLAGE ON LITTLE TEXAS, LLC",Austin Housing Finance Corporation,6212 Crow Lane,78745,2,Very Low,1/4 Mile,240,240,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/18/09 0:00,99,8/18/08 0:00,11/26/08,2/25/11,,,0,"$2,940,000.00 ",667.76%,No,No,No,No,No,No,Yes,No,No,No,"(30.200676191504201, -97.772532928959606)"
Anderson Community Development Corporation - SF,Anderson Community Development Corporation,Anderson Community Development Corporation,Undisclosed,78702,1,Very Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/27/12 0:00,20,9/27/32 0:00,,,,,0,"$136,313.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.269816755272, -97.727576459392495)"
9215 Kempler Drive,Accessible Housing Austin!,Accessible Housing Austin!,9215 Kempler Drive,78748,5,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,4/22/16 0:00,99,4/22/15 0:00,,,,,0,"$220,880.00 ",94.93%,No,No,No,No,No,No,No,No,No,No,"(30.180652347617599, -97.821501988397202)"
2106 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2106 Chicon Street,78722,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,12/1/14 0:00,99,12/1/13 0:00,,,,,0,"$12,850.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.282412839830801, -97.722010728160001)"
2004 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2004 Chicon Street,78722,1,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,2/27/14 0:00,99,2/27/13 0:00,,,,,0,"$12,850.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.281151956440699, -97.721815879708501)"
2112 E 8th Street,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,2112 E 8th Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,2/20/09 0:00,99,2/20/08 0:00,11/17/08,8/19/16,,,0,"$257,105.00 ",54.38%,No,No,No,No,No,No,Yes,No,No,No,"(30.262819628827099, -97.718184673048995)"
Cross Creek Apartments,TMG - TX Austin II,"The Muholland Group, LLC",1124 Rutland Drive,78758,4,Very Low,1/4 Mile,200,200,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,7/1/14 0:00,40,7/1/54 0:00,1/31/14,,,,0,"$2,000,000.00 ",956.57%,No,No,No,No,No,No,Yes,No,No,No,"(30.368711351997099, -97.703720401279398)"
Skyline Terrace,"Foundation Communities, Inc.","Foundation Communities, Inc.",1212 W Ben White Boulevard,78704,5,Low,1/4 Mile,100,100,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,6/27/08 0:00,40,6/27/48 0:00,,,,,0,"$3,516,850.00 ",206.24%,No,No,No,No,No,No,No,No,No,No,"(30.228236126783798, -97.778178120265196)"
Homestead Oaks,"Foundation Communities, Inc.","Foundation Communities, Inc.",3226 W Slaughter Lane,78748,5,Moderate,Neither,140,126,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,9/6/13 0:00,40,9/6/53 0:00,2/13/13,3/18/16,,,14,"$3,250,000.00 ",711.88%,No,No,No,No,No,No,Yes,No,No,No,"(30.181532089830899, -97.844720088684696)"
Capital Studios,"Foundation Communities, Inc.","Foundation Communities, Inc.",309 E 11th Street,78701,1,High,1/4 Mile,135,135,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,12/30/14 0:00,40,12/30/54 0:00,7/31/12,12/30/14,,,0,"$4,660,000.00 ",322.17%,No,No,No,No,No,No,Yes,No,No,No,"(30.271752180156799, -97.738085783688305)"
Bluebonnet Studios SRO,"Foundation Communities, Inc.","Foundation Communities, Inc.",2301 S Lamar Boulevard,78704,5,Moderate,1/4 Mile,107,107,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,8/29/14 0:00,40,8/29/54 0:00,8/29/14,,,,0,"$3,994,420.00 ",507.77%,No,No,No,No,No,No,Yes,No,No,No,"(30.2469873500171, -97.775516514267196)"
Lakeline Station,"Foundation Communities, Inc","Foundation Communities, Inc.",13635 Rutledge Spur,78717,6,Very High,Neither,128,128,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,9/9/14 0:00,40,9/9/54 0:00,1/29/14,,,,0,"$2,975,000.00 ",889.11%,No,No,No,No,No,No,Yes,No,No,No,"(30.476253081060399, -97.780344989232603)"
Live Oak Trails,"Foundation Communities, Inc.","Foundation Communities, Inc.",8500 US Highway 71 W,78735,8,Moderate,1/2 Mile,58,58,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,8/13/14 0:00,40,8/13/54 0:00,1/29/14,,,,0,"$1,750,000.00 ",855.25%,No,No,No,No,No,No,Yes,No,No,No,"(30.248559381155399, -97.8900821644269)"
Parkwest Condos,Frameworks Community Development Corporation,Frameworks Community Development Corporation,10616 Mellow Meadows Drive,78750,6,Moderate,Neither,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,12/30/14 0:00,99,12/23/12 0:00,,,,,0,"$82,583.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.4604230013685, -97.801727908379902)"
Edgecreek Condos,Frameworks Community Development Corporation,Frameworks Community Development Corporation,12166 Metric Boulevard,78758,7,Moderate,Neither,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,12/30/14 0:00,99,7/31/12 0:00,,,,,0,"$82,583.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.406791193756899, -97.697861726688302)"
4904 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,4904 West Wind Trail,78745,5,Moderate,1/4 Mile,4,3,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,11/14/14 0:00,99,11/14/13 0:00,,,,,1,"$187,000.00 ",212.62%,No,No,No,No,No,No,No,No,No,No,"(30.227441125895599, -97.8033852378787)"
4810 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,4810 West Wind Trail,78745,5,Moderate,1/4 Mile,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,12/30/14 0:00,99,2/28/14 0:00,,,,,0,"$135,185.00 ",514.95%,No,No,No,No,No,No,No,No,No,No,"(30.2279505045048, -97.802996584841793)"
1615 East 7th Street,"1615 East 7th Street, LLC","1615 East 7th Street, LLC",1615 E 7th Street,78702,3,High,1/4 Mile,19,5,Multifamily,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,40,,10/13/14,,,,14,$0.00 ,0%,No,No,No,No,No,No,No,Yes,No,No,"(30.263268452405001, -97.725022050227906)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/2/16 0:00,15,9/2/31 0:00,1/27/15,,,,0,"$77,167.64 ",1496.03%,No,No,No,No,No,No,Yes,No,No,No,"(30.2384589957936, -97.698097745188903)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/30/16 0:00,15,9/30/31 0:00,5/16/12,,,,0,"$77,167.64 ",1496.03%,No,No,No,No,No,No,Yes,No,No,No,"(30.2383681507029, -97.698157874215099)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/23/16 0:00,15,9/23/31 0:00,5/16/12,,,,0,"$77,167.64 ",1496.03%,No,No,No,No,No,No,Yes,No,No,No,"(30.238269543584501, -97.698229744923694)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/23/16 0:00,10,5/23/26 0:00,5/16/12,,,,0,"$77,167.64 ",1496.03%,No,No,No,No,No,No,Yes,No,No,No,"(30.2380979283298, -97.697867812532195)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Certified / Loan Executed,10/25/16 0:00,15,10/25/31 0:00,5/16/12,,,,0,"$771,067.64 ",149.72%,No,No,No,No,No,No,Yes,No,No,No,"(30.238166231384799, -97.698269434574897)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/2/16 0:00,10,9/2/26 0:00,5/16/12,,,,0,"$77,167.64 ",1496.03%,No,No,No,No,No,No,Yes,No,No,No,"(30.2379893350858, -97.697942236510002)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Certified / Loan Executed,9/16/16 0:00,15,9/16/31 0:00,5/16/12,,,,0,"$77,167.64 ",1496.03%,No,No,No,No,No,No,Yes,No,No,No,"(30.238089926832998, -97.698354538784301)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/26/16 0:00,15,8/26/31 0:00,5/16/12,,,,0,"$77,167.64 ",1496.03%,No,No,No,No,No,No,Yes,No,No,No,"(30.237883298281101, -97.6980419944571)"
Lee Meadows Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78741,3,High,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Certified / Loan Executed,10/25/16 0:00,15,10/25/31 0:00,5/16/12,,,,0,"$77,167.64 ",1496.03%,No,No,No,No,No,No,Yes,No,No,No,"(30.238005879604, -97.698453664727793)"
4902 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,4902 West Wind Trail,78745,5,Moderate,1/4 Mile,4,1,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,4/13/15 0:00,99,4/13/14 0:00,,,,,3,"$154,002.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.2276424167489, -97.803272281604293)"
The Works at Pleasant Valley,Lifeworks Affordable Housing Corporation,Lifeworks Affordable Housing Corporation,2800 Lyons Road,78702,3,Moderate,Neither,45,45,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,1/17/14 0:00,99,1/17/13 0:00,9/30/10,1/17/14,,,0,"$850,000.00 ",581.95%,No,No,No,No,No,No,Yes,No,No,No,"(30.263973435800999, -97.707400092268401)"
Lucero Apartments (formerly Oak Creek Village),"2013 Travis Oak Creek, LP","Eureka Holdings, LLC",2324 Wilson Street,78704,9,Moderate,1/4 Mile,173,173,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,11/16/09 0:00,40,11/16/49 0:00,1/16/13,,,,0,"$2,000,000.00 ",855.21%,No,No,No,No,No,No,Yes,No,No,No,"(30.242222473744398, -97.756260797953104)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/17/11 0:00,36,6/17/47 0:00,,,,,0,"$16,500.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.172165767266002, -97.6185709061062)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/1/10 0:00,30,7/1/10 0:00,,,,,0,"$105,300.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.170913627219399, -97.619551658443996)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78754,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/28/11 0:00,36,3/28/47 0:00,,,,,0,"$112,514.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.3744499621877, -97.649422871538107)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/5/11 0:00,31,12/5/42 0:00,,,,,0,"$70,692.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.173751796257399, -97.617857126426102)"
Westgate Grove (aka Westgate I Subdivision),"Westgate Momark, LLC",HomeBase Texas,2903 Cameron Loop,78745,5,High,1/4 Mile,50,50,Single Family,A&D,Ownership,Building Permit Issued / Project Underway,,,,3/17/09,,,,0,"$1,815,300.00 ",285.98%,No,No,No,No,No,No,Yes,No,No,No,"(30.193496131243901, -97.829342234682002)"
"Westgate Grove, Phase II (aka Westgate II Subdivision)","Westgate Momark, LLC",HomeBase Texas,8701 Westgate Boulevard,78745,5,High,1/4 Mile,88,88,Single Family,A&D,Ownership,Project Certified / Loan Executed,,1,,2/24/11,,,,0,"$1,250,000.00 ",388.18%,No,No,No,No,No,No,Yes,No,No,No,"(30.1923715395199, -97.832268090161094)"
The Chicon (aka 'Chicon Corridor'),Chestnut Neighborhood Revitalization Corporation,Chestnut Neighborhood Revitalization Corporation,1212 Chicon Street,78702,1,Very Low,1/4 Mile,15,12,Single Family,A&D,Ownership,Building Permit Issued / Project Underway,,5,,9/26/11,,,,3,"$3,962,717.00 ",137.19%,No,No,No,No,No,No,Yes,No,No,Yes,"(30.274369619321501, -97.720225872284402)"
Chestnut Neighborhood Revitalization Corporation - SF,Undisclosed,Chestnut Neighborhood Revitalization Corporation,Undisclosed,78702,1,Low,Neither,1,1,Single Family,A&D,Ownership,Affordability Period Expired,6/30/05 0:00,1,6/30/06 0:00,,,,,0,"$21,017.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.279979908797198, -97.715975392062603)"
Guadalupe Neighborhood Development Corporation - SF,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,1,Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/19/13 0:00,99,8/19/12 0:00,4/10/09,6/20/14,,,0,"$245,000.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2669432028902, -97.729739177471203)"
Guadalupe Neighborhood Development Corporation - SF,Undisclosed,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,3,Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/18/12 0:00,99,7/18/11 0:00,,,,,0,"$122,500.00 ",50.61%,No,No,No,No,No,No,Yes,No,No,No,"(30.258337361042202, -97.731122603368604)"
Guadalupe-Saldana Subdivision,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1126 Tillery Street,78702,3,Low,Neither,35,35,Single Family,A&D,Ownership,Project Certified / Loan Executed,1/30/09 0:00,101,1/30/10 0:00,5/29/08,,,,0,"$1,000,000.00 ",423.50%,No,No,No,No,No,No,Yes,No,No,No,"(30.268311419762199, -97.7013801637829)"
Meadow Lake Subdivision,Austin Habitat for Humanity,Austin Habitat for Humanity,7051 Meadow Lake Boulevard,78744,2,Low,Neither,60,60,Single Family,A&D,Ownership,Project Certified / Loan Executed,,,,,,,,0,"$942,896.00 ",944.37%,No,No,No,No,No,No,Yes,No,No,No,"(30.1771080797823, -97.755079989286898)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/22/10 0:00,10,6/22/20 0:00,,,,,0,"$914,470.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.312094660116301, -97.681496484287806)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/22/09 0:00,10,12/22/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.312194702840898, -97.682385302669203)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/30/09 0:00,10,9/30/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311880379676001, -97.682680125927106)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/18/09 0:00,10,12/18/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3118169199542, -97.682497501557094)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,4/14/10 0:00,10,4/14/20 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311773218863799, -97.682347334347995)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/14/09 0:00,10,8/14/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3121164666005, -97.682181083942893)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/5/10 0:00,10,5/5/20 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3117389137945, -97.682188698819701)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/15/10 0:00,10,10/15/20 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311323593986799, -97.6821362655283)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/2/13 0:00,10,10/2/23 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311735273192099, -97.682012673467398)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/16/09 0:00,10,9/16/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311236306717198, -97.681965201986998)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,6,6,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/19/13 0:00,10,6/19/23 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.312358572730801, -97.682072456648896)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,4/8/10 0:00,10,4/8/20 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3109075017096, -97.682103666260502)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/23/09 0:00,10,12/23/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311736415954101, -97.681836548387906)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/15/13 0:00,10,8/15/23 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311313637160598, -97.681770563810701)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/3/11 0:00,10,8/3/21 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.312284773209399, -97.681893028312402)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/22/09 0:00,10,12/22/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3108995904811, -97.681952548975303)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/30/09 0:00,10,9/30/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311787755392999, -97.681664528045403)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,5/14/13 0:00,10,5/14/23 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.312223419416799, -97.681696587911404)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/7/10 0:00,10,6/7/20 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311910985863499, -97.681504289723193)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,4/13/10 0:00,10,4/12/20 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311345813136299, -97.681593555005605)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/30/13 0:00,10,7/30/23 0:00,,1/13/13,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311395045226099, -97.681435350901097)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/27/11 0:00,10,12/27/21 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311444589077698, -97.681290895836199)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/20/13 0:00,10,3/20/23 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311510590659299, -97.681134988400601)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,8/3/11 0:00,10,8/3/21 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311046206195599, -97.680913870500206)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/16/13 0:00,10,9/16/23 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311547976816801, -97.680979867273606)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/25/13 0:00,10,9/25/23 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.312094660116301, -97.681496484287806)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/29/09 0:00,10,12/29/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3102970703575, -97.6811710988421)"
